Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,Customer_Age,Gender,Education_Level,Customer_Job,Income,Marital_Status,state_cd,Cust_Satisfaction_Score,Age_Group,Income_Group
708082083,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544.0,1661,15149,111,0.469,Chip ,Travel,4393.21,0,24,F,Uneducated,Businessman,202326,Single,FL,3,18-29,Very High Income
708083283,Blue,445,1,108,01-01-2023,Week-1,Q1,2023,3421.0,2517,992,21,0.736,Swipe ,Entertainment,69.44,0,62,F,Unknown,Selfemployeed,5225,Married,NJ,2,60+,Low Income
708084558,Blue,140,0,106,01-01-2023,Week-1,Q1,2023,8258.0,1771,1447,23,0.214,Chip ,Bills,202.58,0,32,F,Unknown,Selfemployeed,14235,Married,NJ,2,30-39,Low Income
708085458,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,0,3940,82,0.0,Online ,Grocery,236.4,0,38,M,Uneducated,Blue-collar,45683,Single,NY,1,30-39,Medium Income
708086958,Blue,320,1,106,01-01-2023,Week-1,Q1,2023,3128.0,749,4369,59,0.239,Swipe ,Fuel,1004.87,1,48,M,Graduate,Businessman,59279,Single,TX,1,40-49,High Income
708095133,Blue,100,0,94,01-01-2023,Week-1,Q1,2023,33304.0,1833,1448,29,0.055,Swipe ,Bills,275.12,0,33,F,High School,Selfemployeed,14254,Single,NY,3,30-39,Low Income
708098133,Blue,225,1,75,01-01-2023,Week-1,Q1,2023,2834.0,1418,1598,39,0.5,Swipe ,Bills,159.8,1,34,F,Graduate,Selfemployeed,14975,Single,CA,2,30-39,Low Income
708099183,Blue,400,1,75,01-01-2023,Week-1,Q1,2023,5723.0,1873,2732,63,0.327,Swipe ,Grocery,409.8,0,34,F,Uneducated,Retirees,31982,Single,CA,2,30-39,Medium Income
708100533,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679.0,2277,4943,85,0.85,Chip ,Food,988.6,0,48,M,High School,Businessman,86668,Married,NJ,2,40-49,High Income
708103608,Platinum,95,1,80,01-01-2023,Week-1,Q1,2023,11898.0,2517,15798,128,0.212,Chip ,Grocery,3791.52,0,53,F,Graduate,Businessman,223196,Married,NJ,1,50-59,Very High Income
708104658,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732.0,0,31,F,Post-Graduate,Businessman,33625,Single,CA,2,30-39,Medium Income
708108333,Blue,485,0,86,01-01-2023,Week-1,Q1,2023,5590.0,0,1507,32,0.0,Swipe ,Entertainment,150.7,0,34,F,Graduate,Selfemployeed,14975,Single,NY,3,30-39,Low Income
708112008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510.0,1049,1661,35,0.045,Swipe ,Grocery,465.08,0,51,F,Graduate,Selfemployeed,14975,Single,NJ,2,50-59,Low Income
708113208,Blue,300,1,149,01-01-2023,Week-1,Q1,2023,1688.0,0,4375,69,0.0,Chip ,Fuel,525.0,0,36,M,High School,White-collar,59416,Single,NJ,3,30-39,High Income
708117933,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880.0,0,2469,34,0.0,Chip ,Bills,419.73,1,49,F,Graduate,Retirees,28122,Married,CA,1,40-49,Medium Income
708119658,Blue,340,0,44,01-01-2023,Week-1,Q1,2023,12836.0,1034,2519,53,0.081,Swipe ,Bills,554.18,0,53,F,Graduate,Govt,29021,Single,FL,1,50-59,Medium Income
708121908,Blue,405,0,71,01-01-2023,Week-1,Q1,2023,22917.0,0,2045,45,0.0,Swipe ,Grocery,265.85,0,49,F,Graduate,Selfemployeed,20632,Married,TX,3,40-49,Medium Income
708123033,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463.0,0,14511,105,0.0,Swipe ,Fuel,3047.31,0,47,F,Graduate,Businessman,172101,Married,FL,2,40-49,Very High Income
708125733,Blue,220,0,69,01-01-2023,Week-1,Q1,2023,1438.3,0,4311,77,0.0,Swipe ,Entertainment,1207.08,0,43,F,Graduate,Retirees,57168,Single,FL,2,40-49,High Income
708128733,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814.0,0,5014,99,0.0,Swipe ,Entertainment,1303.64,0,47,M,Graduate,Govt,89954,Married,NY,2,40-49,High Income
708129933,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072.0,1544,4210,64,0.745,Chip ,Entertainment,884.1,0,34,F,Uneducated,Blue-collar,53762,Single,TX,1,30-39,High Income
708132783,Blue,250,1,92,01-01-2023,Week-1,Q1,2023,16411.0,1179,3929,71,0.072,Swipe ,Food,785.8,1,37,F,Unknown,Selfemployeed,45476,Married,NJ,3,30-39,Medium Income
708134283,Blue,125,1,101,01-01-2023,Week-1,Q1,2023,3131.0,629,1483,31,0.201,Swipe ,Food,311.43,0,63,M,Graduate,Selfemployeed,14975,Single,TX,2,60+,Low Income
708136908,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616.0,801,4655,68,0.306,Swipe ,Entertainment,605.15,0,55,M,Doctorate,Retirees,72878,Married,MO,2,50-59,High Income
708139833,Blue,460,0,111,01-01-2023,Week-1,Q1,2023,6391.0,0,2323,44,0.0,Swipe ,Grocery,441.37,0,38,F,Unknown,Businessman,25667,Single,NY,3,30-39,Medium Income
708145908,Blue,320,0,78,01-01-2023,Week-1,Q1,2023,4906.0,2185,3999,71,0.445,Swipe ,Bills,959.76,0,40,M,Graduate,Blue-collar,47224,Single,MA,1,40-49,Medium Income
708147108,Blue,320,0,112,01-01-2023,Week-1,Q1,2023,21084.0,2517,2309,71,0.119,Swipe ,Travel,277.08,0,55,F,Graduate,White-collar,25341,Single,NY,2,50-59,Medium Income
708148158,Blue,175,0,73,01-01-2023,Week-1,Q1,2023,1827.0,0,4207,86,0.0,Swipe ,Fuel,925.54,0,33,M,Doctorate,Blue-collar,53644,Single,NY,3,30-39,High Income
708151008,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,6250.0,644,2433,41,0.103,Swipe ,Fuel,486.6,0,54,F,Uneducated,Govt,27423,Married,CA,2,50-59,Medium Income
708152358,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512.0,1664,8019,57,0.09,Swipe ,Food,721.71,0,46,M,Graduate,Blue-collar,110014,Married,NY,2,40-49,Very High Income
708153558,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516.0,1802,7936,101,0.052,Swipe ,Fuel,634.88,0,44,M,Graduate,Businessman,109186,Unknown,IA,3,40-49,Very High Income
708154833,Blue,250,0,82,01-01-2023,Week-1,Q1,2023,1438.3,811,2336,46,0.564,Chip ,Fuel,630.72,0,40,F,Graduate,Govt,25835,Married,NJ,2,40-49,Medium Income
708155733,Blue,335,0,88,01-01-2023,Week-1,Q1,2023,14734.0,1634,1289,23,0.111,Swipe ,Bills,296.47,0,44,F,Graduate,Selfemployeed,11345,Married,CA,2,40-49,Low Income
708158133,Blue,110,1,131,01-01-2023,Week-1,Q1,2023,3031.0,2517,2188,50,0.83,Swipe ,Bills,350.08,1,51,F,Uneducated,Selfemployeed,23215,Single,NY,2,50-59,Medium Income
708160008,Blue,375,1,96,01-01-2023,Week-1,Q1,2023,34516.0,1058,7412,84,0.031,Swipe ,Bills,1927.12,0,60,M,Graduate,Businessman,103581,Single,CA,3,60+,Very High Income
708161133,Blue,150,1,99,01-01-2023,Week-1,Q1,2023,6629.0,1389,3891,69,0.21,Swipe ,Fuel,466.92,0,49,F,Unknown,Selfemployeed,44555,Single,TX,3,40-49,Medium Income
708162558,Blue,420,0,88,01-01-2023,Week-1,Q1,2023,3250.0,1992,1355,36,0.613,Swipe ,Entertainment,189.7,1,43,F,Graduate,Selfemployeed,12381,Married,TX,2,40-49,Low Income
708163758,Platinum,470,0,158,01-01-2023,Week-1,Q1,2023,34516.0,638,13085,139,0.018,Swipe ,Bills,2355.3,0,54,M,Graduate,White-collar,123809,Single,NY,1,50-59,Very High Income
